"Артикул","Название модели (англ. ориг. поставщика)","Подгруппа"
"WFST103959/049","SWTR CASHMERE JUICY COLORBLOCK PULLOVER","Свитера"
"WTKT74262/147","TRK VLR JUICY LA SLOUCHY HOODED PULLOVER","Толстовки"
"WTKJ68021/147","TRK VELOUR FAIRFAX JACKET","Толстовки"
"WTKJ68019/147","TRK VELOUR BEACHWOOD JACKET","Толстовки"
"WTKB68022/147","TRK VELOUR SILVERLAKE PANT","Брюки"
"WFKT64653/065","KNT LA ROCK EMBLEM GRAPHIC TEE","Футболки"
"WJW57506/040","S/3 CHARMY","Заколки, резинки, шпильки"
"WSG167/043","BRENTWOOD SNAP WALLET","Кошельки"
"WSG151/043","BRENTWOOD CARD CASE","Визитницы"
"WSG150/043","BRENTWOOD MEDIUM POUCH","Косметички"
"WSG148/043","BRENTWOOD SMALL ZIP WALLET","Кошельки"
"WJW61422/040","S-EMB LUXE WISHES BAR STUDS","Серьги"
"WJW57573/040","S-EMB LUXE WISHES CUFF","Браслеты"
"WJW57571/040","S-EMB LUXE WISHES NECKLACE","Колье, цепочки, шнурки"
"WJW57510/032","S/10 CHARMY","Заколки, резинки, шпильки"
"WHB524/043","BRENTWOOD TOP HANDLE CROSSBODY","Crossbody"
"WHB523/043","BRENTWOOD MULTI CLUTCH","Clutch"
"WFKR56733/147","FT VLR JUICY LACE ROMPER","Комбинезоны"
"WFKJ50577/147","FT VLR JUICY LACE ROBERTSON JACKET","Толстовки"
"WFKB50578/147","FT VLR JUICY LACE DEL REY PANT","Брюки"
"WTKJ50558/029","LOGO VLR STARBURST CAMEO ROBERTSON JCKT","Толстовки"
"WTKJ50551/029","J BLING WESTWOOD VLR JACKET","Толстовки"
"WTKB50559/029","LOGO VLR STARBURST CAMEO DEL REY PANT","Брюки"
"WFWB53326/060","DNM FOLKLORE FLORAL EMB GIRLFRIEND JEAN","Джинсы"
"WFWB53268/061","DNM LOLA WASH SKINNY JEAN","Джинсы"
"WTKB34246/029","LOGO JUICY DIAMONDS VLR ORIG PANT","Брюки"
"WTKB31356/029","LOGO JC CROWN VLR ORIG PANT","Брюки"
"WIKD33342/049","I HEART JUICY GRAPHIC NIGHTIE","Футболки"
"WFWD24020/INNI","COTTON SILK VOILE WITH LACE DRESS","Платья"
"JG010003/GUNM","SHIMMER SKIRT","Юбки"
"JG010098/TOPH","Charm d'or slim pant","Брюки"
"JG010096/TOPH","Charm d'or pullover","Свитера"
"JG005959/TOPH","J BLING ORIG VLR JACKET","Толстовки"
"JG008318/TOPH","SLIM COMFY PANT","Брюки"
"WFKT78470/452","KNT EMBELLISHED CALIFORNIA TANK","Футболки"
"WFWD76730/962","SW HORIZON STRIPE DRESS","Платья"
"WFST82959/982","STWR GOTHIC JUICY COLORBLOCKED PULLOVER","Свитера"
"WFST77638/969","SWTR LUREX STRIPE LT WT CARDIGAN","Кардиганы"
"WFST85787/962","SWTR MULTI-COLOR STRIPE PULLOVER W SCARF","Свитера"
"WFWD47701/446","SW SILK COASTLINE STRIPE DRESS","Платья"
"WFWB48198/414","DNM TIE BLEACH GIRLFRIEND JEAN","Джинсы"
"WFKT43122/105","KNT MATISSE FLORAL GRAPHIC TEE","Футболки"
"WFKD42153/976","KNT JERSEY ST TROPEZ STRIPE MAXI DRESS","Платья"
